LotID,Agency,Area,Development,LotType,OBJECTID,LU_DESC,LU_TEXT,LU_DT_DESC,GPR,GPR_NUM,WHI_Q_MX,GPR_B_MN,REGION_N,PLN_AREA_N,SUBZONE_NO,SUBZONE_N,CREATE_BY,CREATE_DT,LST_MDF_BY,LST_MDF_DT,SYSTEM_ID,SHAPE_Length,SHAPE_Area,n_lots,Latitude,Longitude,nearest_temperature_station,nearest_rainfall_station,nearest_windspeed_station,nearest_weatherforecast_station
SDM2,HDB,,BLK 50A SIMS DRIVE,C,85066.0,RESIDENTIAL,,Residential  - Public Housing - Non-Landed,2.8,2.8000000000000003,,,CENTRAL REGION,GEYLANG,4.0,ALJUNIED,TAN LEE GEK,1220036997000.0,Ang Ah Lan,1571135189000.0,180718-91515,1937.9069593436168,25729.189040242825,259.0,1.316132795,103.8784551,S115,S115,S115,Tuas
SE11,HDB,,BLK 151/154 SERANGOON NORTH AVE 1/2,C,59531.0,COMMERCIAL & RESIDENTIAL, ,COMMERCIAL & RESIDENTIAL - PUBLIC HOUSING,EVA,,,,NORTH-EAST REGION,SERANGOON,4.0,SERANGOON GARDEN,ZAMRI BIN HASAN,1193308979000.0,Bay Soon,1571143879000.0,180718-63865,991.9118400917032,41226.88654103109,110.66666666666669,1.370226001,103.8734194,S115,S115,S115,Tuas
SE12,HDB,,BLK 211-222 SERANGOON AVENUE 4,C,61102.0,RESIDENTIAL, ,PUBLIC HOUSING - NON-LANDED,2.8,2.8000000000000003,,,NORTH-EAST REGION,SERANGOON,4.0,SERANGOON GARDEN,ZAMRI BIN HASAN,1193309454000.0,Bay Soon,1571143967000.0,180718-65513,1972.4804152865577,69980.91986086841,580.0,1.357843857,103.8730891,S115,S115,S115,Tuas
SE13,HDB,,BLK 223/230 SERANGOON AVENUE 4,C,108168.0,RESIDENTIAL, ,PUBLIC HOUSING - NON-LANDED,2.8,2.8000000000000003,,,NORTH-EAST REGION,SERANGOON,4.0,SERANGOON GARDEN,Bay Soon,1547133943000.0,Bay Soon,1571143987000.0,100119-574486140244,1020.4033201876232,49343.27894493824,318.0,1.356571683,103.8703302,S115,S115,S115,Tuas
SE14,HDB,,BLK 231/237 SERANGOON AVENUE 3,C,62631.0,RESIDENTIAL, ,PUBLIC HOUSING - NON-LANDED,2.8,2.8000000000000003,,,NORTH-EAST REGION,SERANGOON,6.0,SERANGOON CENTRAL,ZAMRI BIN HASAN,1193309917000.0,Bay Soon,1571152240000.0,180718-67103,1837.380925964636,80328.72719953374,125.0,1.354552224,103.8699887,S115,S115,S115,Tuas
SE15,HDB,,BLK 238/246 SERANGOON AVENUE 3,C,62631.0,RESIDENTIAL, ,PUBLIC HOUSING - NON-LANDED,2.8,2.8000000000000003,,,NORTH-EAST REGION,SERANGOON,6.0,SERANGOON CENTRAL,ZAMRI BIN HASAN,1193309917000.0,Bay Soon,1571152240000.0,180718-67103,1837.380925964636,80328.72719953374,365.0,1.352894926,103.8694101,S115,S115,S115,Tuas
SE16,HDB,,BLK 301/319 SERANGOON AVENUE 2,C,62482.0,RESIDENTIAL, ,PUBLIC HOUSING - NON-LANDED,2.8,2.8000000000000003,,,NORTH-EAST REGION,SERANGOON,6.0,SERANGOON CENTRAL,ZAMRI BIN HASAN,1193309874000.0,Bay Soon,1571152239000.0,180718-66950,1700.6942543367836,37139.30780529552,426.0,1.35261889,103.8677199,S115,S115,S115,Tuas
SE17,HDB,,BLK 321/329 SERANGOON AVENUE 3,C,58923.0,RESIDENTIAL, ,PUBLIC HOUSING - NON-LANDED,2.8,2.8000000000000003,,,NORTH-EAST REGION,SERANGOON,6.0,SERANGOON CENTRAL,ZAMRI BIN HASAN,1193308760000.0,Bay Soon,1571152229000.0,180718-63236,1300.3556786684771,45991.49786909615,390.3333333333333,1.351714441,103.8677094,S115,S115,S115,Tuas
SE18,HDB,,BLK 330/335 SERANGOON AVENUE 3,C,59967.0,RESIDENTIAL, ,PUBLIC HOUSING - NON-LANDED,2.8,2.8000000000000003,,,NORTH-EAST REGION,SERANGOON,6.0,SERANGOON CENTRAL,ZAMRI BIN HASAN,1193309115000.0,Bay Soon,1571152232000.0,180718-64324,671.2577833632971,22995.19734741871,167.0,1.350197483,103.8704641,S115,S115,S115,Tuas
SE19,HDB,,BLK 201/210 SERANGOON CENTRAL,C,81896.0,RESIDENTIAL, ,PUBLIC HOUSING - NON-LANDED,2.8,2.8000000000000003,,,NORTH-EAST REGION,SERANGOON,6.0,SERANGOON CENTRAL,BAY SOON,1204302900000.0,Bay Soon,1571152241000.0,180718-87978,1617.3315447487716,58394.40627992108,379.0,1.354744913,103.8736912,S115,S115,S115,Tuas
